Source,Target,Type,Id,year
0,73,Undirected,0,1988
0,107,Undirected,1,1988
0,224,Undirected,2,1987
0,285,Undirected,3,1987
1,5,Undirected,4,2002
1,12,Undirected,5,2002
1,19,Undirected,6,2002
1,36,Undirected,7,2002
1,78,Undirected,8,2002
1,163,Undirected,9,2002
1,173,Undirected,10,2002
1,175,Undirected,11,2002
1,221,Undirected,12,2002
1,225,Undirected,13,2002
1,245,Undirected,14,2002
1,256,Undirected,15,2002
2,51,Undirected,16,1996
2,126,Undirected,17,1996
2,147,Undirected,18,1996
3,41,Undirected,19,1994
3,77,Undirected,20,1994
3,156,Undirected,21,1994
4,41,Undirected,22,1994
4,77,Undirected,23,1994
5,78,Undirected,24,2002
5,225,Undirected,25,2002
6,172,Undirected,26,1992
6,267,Undirected,27,1992
7,14,Undirected,28,2015
7,114,Undirected,29,2015
7,174,Undirected,30,2015
8,40,Undirected,31,2009
8,169,Undirected,32,2009
9,14,Undirected,33,2015
9,114,Undirected,34,2015
9,174,Undirected,35,2015
10,172,Undirected,36,1992
10,267,Undirected,37,1992
10,286,Undirected,38,1992
11,40,Undirected,39,2009
11,169,Undirected,40,2009
12,78,Undirected,41,2002
13,212,Undirected,42,2014
13,270,Undirected,43,2014
13,274,Undirected,44,2014
14,37,Undirected,45,2015
14,42,Undirected,46,2015
14,99,Undirected,47,2015
14,114,Undirected,48,2015
14,121,Undirected,49,2015
14,167,Undirected,50,2015
14,174,Undirected,51,2015
14,187,Undirected,52,2015
14,277,Undirected,53,2015
15,212,Undirected,54,2014
15,270,Undirected,55,2014
15,274,Undirected,56,2014
16,172,Undirected,57,1992
16,267,Undirected,58,1992
17,50,Undirected,59,2018
17,164,Undirected,60,2018
18,50,Undirected,61,2018
18,164,Undirected,62,2018
19,78,Undirected,63,2002
19,225,Undirected,64,2002
20,45,Undirected,65,2018
20,100,Undirected,66,2018
20,170,Undirected,67,2018
21,41,Undirected,68,1994
21,77,Undirected,69,1994
21,156,Undirected,70,1994
22,90,Undirected,71,2010
22,202,Undirected,72,2010
23,40,Undirected,73,2009
23,169,Undirected,74,2009
23,189,Undirected,75,2009
24,73,Undirected,76,1988
24,107,Undirected,77,1988
24,224,Undirected,78,1988
25,41,Undirected,79,1994
25,77,Undirected,80,1994
25,156,Undirected,81,1994
26,88,Undirected,82,2007
26,122,Undirected,83,2007
26,134,Undirected,84,2007
27,39,Undirected,85,2007
27,62,Undirected,86,2007
27,129,Undirected,87,2007
27,248,Undirected,88,2007
27,272,Undirected,89,2007
28,60,Undirected,90,2007
28,75,Undirected,91,2007
28,150,Undirected,92,2007
28,176,Undirected,93,2007
28,220,Undirected,94,2007
28,236,Undirected,95,2007
29,172,Undirected,96,1992
29,267,Undirected,97,1992
29,286,Undirected,98,1992
30,172,Undirected,99,1992
30,267,Undirected,100,1992
31,212,Undirected,101,2014
31,270,Undirected,102,2014
31,274,Undirected,103,2014
32,40,Undirected,104,2009
32,169,Undirected,105,2009
32,189,Undirected,106,2009
33,172,Undirected,107,1992
33,267,Undirected,108,1992
33,286,Undirected,109,1992
34,41,Undirected,110,1994
34,77,Undirected,111,1994
34,156,Undirected,112,1994
35,41,Undirected,113,1994
35,77,Undirected,114,1994
36,78,Undirected,115,2002
36,225,Undirected,116,2002
37,114,Undirected,117,2015
37,174,Undirected,118,2015
38,90,Undirected,119,2010
38,202,Undirected,120,2010
38,265,Undirected,121,2010
39,62,Undirected,122,2007
39,89,Undirected,123,2007
39,129,Undirected,124,2007
39,148,Undirected,125,2007
39,248,Undirected,126,2007
39,272,Undirected,127,2007
40,61,Undirected,128,2009
40,109,Undirected,129,2009
40,111,Undirected,130,2009
40,135,Undirected,131,2009
40,146,Undirected,132,2009
40,160,Undirected,133,2009
40,169,Undirected,134,2009
40,189,Undirected,135,2009
40,191,Undirected,136,2009
40,193,Undirected,137,2009
40,195,Undirected,138,2009
40,196,Undirected,139,2009
41,46,Undirected,140,1994
41,58,Undirected,141,1994
41,65,Undirected,142,1994
41,74,Undirected,143,1994
41,77,Undirected,144,1994
41,84,Undirected,145,1994
41,87,Undirected,146,1994
41,93,Undirected,147,1994
41,94,Undirected,148,1994
41,105,Undirected,149,1994
41,119,Undirected,150,1994
41,124,Undirected,151,1994
41,131,Undirected,152,1994
41,132,Undirected,153,1994
41,133,Undirected,154,1994
41,138,Undirected,155,1994
41,139,Undirected,156,1994
41,141,Undirected,157,1994
41,143,Undirected,158,1994
41,151,Undirected,159,1994
41,152,Undirected,160,1994
41,155,Undirected,161,1994
41,156,Undirected,162,1994
41,162,Undirected,163,1994
41,171,Undirected,164,1994
41,185,Undirected,165,1994
41,207,Undirected,166,1994
41,211,Undirected,167,1994
41,215,Undirected,168,1994
41,218,Undirected,169,1994
41,230,Undirected,170,1994
41,234,Undirected,171,1994
41,239,Undirected,172,1994
41,241,Undirected,173,1994
41,252,Undirected,174,1994
41,261,Undirected,175,1994
41,263,Undirected,176,1994
41,283,Undirected,177,1994
41,287,Undirected,178,1994
42,114,Undirected,179,2015
42,174,Undirected,180,2015
43,172,Undirected,181,1992
43,267,Undirected,182,1992
43,286,Undirected,183,1992
44,90,Undirected,184,2010
44,202,Undirected,185,2010
44,265,Undirected,186,2010
45,68,Undirected,187,2018
45,72,Undirected,188,2018
45,79,Undirected,189,2018
45,100,Undirected,190,2018
45,115,Undirected,191,2018
45,161,Undirected,192,2018
45,170,Undirected,193,2018
45,198,Undirected,194,2018
45,199,Undirected,195,2018
45,243,Undirected,196,2018
45,255,Undirected,197,2018
45,271,Undirected,198,2018
46,77,Undirected,199,1994
