Begin	End	Strength	Year	Entity
1996.0	2010.0	10.1914	1994.0	Coleman JS, 1994, FDN SOCIAL THEORY, V0, P0
2002.0	2014.0	14.1939	1994.0	Wasserman S, 1994, SOCIAL NETWORK ANALYSIS: METHODS AND APPLICATIONS, V0, P0
2004.0	2015.0	11.8034	1996.0	Wasserman S, 1996, PSYCHOMETRIKA, V61, P401, DOI 10.1007/BF02294547
2006.0	2012.0	6.6453	1987.0	MARSDEN PV, 1987, AM SOCIOL REV, V52, P122, DOI 10.2307/2095397
2008.0	2011.0	6.8053	1994.0	EMIRBAYER M, 1994, AM J SOCIOL, V99, P1411, DOI 10.1086/230450
2009.0	2012.0	8.0934	1988.0	MARSDEN PV, 1988, SOC NETWORKS, V10, P57, DOI 10.1016/0378-8733(88)90010-X
2009.0	2018.0	7.0524	2007.0	Onnela JP, 2007, P NATL ACAD SCI USA, V104, P7332, DOI 10.1073/pnas.0610245104
2012.0	2019.0	8.5062	2009.0	Lazer D, 2009, SCIENCE, V323, P721, DOI 10.1126/science.1167742
2012.0	2014.0	6.9712	2007.0	Mislove A, 2007, IMC07: PROCEEDINGS OF THE 2007 ACM SIGCOMM INTERNET MEASUREMENT CONFERENCE, V0, P29
2012.0	2019.0	6.9687	2010.0	Fortunato S, 2010, PHYS REP, V486, P75, DOI 10.1016/j.physrep.2009.11.002
2014.0	2017.0	7.7364	2007.0	Ellison NB, 2007, J COMPUT-MEDIAT COMM, V12, P1143, DOI 10.1111/j.1083-6101.2007.00367.x
2015.0	2020.0	7.1871	2012.0	Apicella CL, 2012, NATURE, V481, P497, DOI 10.1038/nature10736
2015.0	2018.0	6.5536	1992.0	DUNBAR RIM, 1992, J HUM EVOL, V22, P469, DOI 10.1016/0047-2484(92)90081-J
2017.0	2021.0	6.8785	2008.0	Blondel VD, 2008, J STAT MECH-THEORY E, V0, P0, DOI 10.1088/1742-5468/2008/10/P10008
2017.0	2025.0	6.8553	2018.0	Borgatti SP, 2018, ANAL SOCIAL NETWORKS, V0, P0
2018.0	2022.0	9.2166	2015.0	Bakshy E, 2015, SCIENCE, V348, P1130, DOI 10.1126/science.aaa1160
2019.0	2025.0	15.8258	2018.0	Vosoughi S, 2018, SCIENCE, V359, P1146, DOI 10.1126/science.aap9559
2019.0	2025.0	8.7957	2018.0	Lazer DMJ, 2018, SCIENCE, V359, P1094, DOI 10.1126/science.aao2998
2020.0	2025.0	7.416	2005.0	Csardi Gabor NT, 2005, INT J COMPLEX SYST, V2006, P1695, DOI 10.3724/SP.J.1087.2009.02191
2021.0	2025.0	8.2877	2000.0	Putnam Robert D, 2000, BOWLING ALONE COLLAP, V0, P0, DOI 10.1145/358916.361990
2021.0	2025.0	8.1545	2002.0	Hegselmann R, 2002, JASSS-J ARTIF SOC S, V5, P0
2021.0	2023.0	7.5939	2002.0	Lin N, 2002, SOCIAL CAPITAL THEOR, V0, P0
2022.0	2025.0	7.7779	2014.0	McFarland DA, 2014, AM SOCIOL REV, V79, P1088, DOI 10.1177/0003122414554001
2023.0	2025.0	10.6702	1992.0	BURT RS, 1992, NETWORKS AND ORGANIZATIONS : STRUCTURE, V0, P0
2023.0	2025.0	6.9861	2008.0	Butts CT, 2008, SOCIOL METHODOL, V38, P155, DOI 10.1111/j.1467-9531.2008.00203.x
