Affiliations	Record Count	% of 1,862
UNIVERSITY OF CALIFORNIA SYSTEM	120	6.445
UNIVERSITY OF OXFORD	53	2.846
HARVARD UNIVERSITY	50	2.685
UNIVERSITY OF LONDON	48	2.578
MASSACHUSETTS INSTITUTE OF TECHNOLOGY MIT	41	2.202
UNIVERSITY OF GRONINGEN	41	2.202
UNIVERSITY SYSTEM OF OHIO	40	2.148
STATE UNIVERSITY SYSTEM OF FLORIDA	35	1.880
CORNELL UNIVERSITY	33	1.772
STANFORD UNIVERSITY	31	1.665
PENNSYLVANIA COMMONWEALTH SYSTEM OF HIGHER EDUCATION PCSHE	29	1.557
UNIVERSITY OF CALIFORNIA SAN DIEGO	29	1.557
UNIVERSITY OF PENNSYLVANIA	29	1.557
MAX PLANCK SOCIETY	28	1.504
OHIO STATE UNIVERSITY	28	1.504
YALE UNIVERSITY	28	1.504
UTRECHT UNIVERSITY	27	1.450
UNIVERSITY OF MICHIGAN	26	1.396
UNIVERSITY OF MICHIGAN SYSTEM	26	1.396
UNIVERSITY OF SOUTHERN CALIFORNIA	26	1.396
UNIVERSITY OF TORONTO	25	1.343
NORTHWESTERN UNIVERSITY	24	1.289
UNIVERSITY OF NORTH CAROLINA	24	1.289
UNIVERSITY OF CALIFORNIA IRVINE	23	1.235
UNIVERSITY OF MANCHESTER	23	1.235
CENTRE NATIONAL DE LA RECHERCHE SCIENTIFIQUE CNRS	22	1.182
NORTHEASTERN UNIVERSITY	22	1.182
SWISS FEDERAL INSTITUTES OF TECHNOLOGY DOMAIN	22	1.182
THE SANTA FE INSTITUTE	22	1.182
UNIVERSITY OF CHICAGO	22	1.182
UNIVERSITY OF WASHINGTON	22	1.182
UNIVERSITY OF WASHINGTON SEATTLE	22	1.182
INDIANA UNIVERSITY SYSTEM	21	1.128
UNIVERSITY OF CALIFORNIA DAVIS	21	1.128
UNIVERSITY OF MELBOURNE	21	1.128
CARNEGIE MELLON UNIVERSITY	20	1.074
ETH ZURICH	20	1.074
STATE UNIVERSITY OF NEW YORK SUNY SYSTEM	20	1.074
UNIVERSITY COLLEGE LONDON	20	1.074
COLUMBIA UNIVERSITY	19	1.020
INDIANA UNIVERSITY BLOOMINGTON	19	1.020
PRINCETON UNIVERSITY	19	1.020
UNIVERSIDAD CARLOS III DE MADRID	19	1.020
UNIVERSITY OF CALIFORNIA LOS ANGELES	19	1.020
UNIVERSITY OF CAMBRIDGE	19	1.020
UNIVERSITY OF NORTH CAROLINA CHAPEL HILL	19	1.020
DUKE UNIVERSITY	18	0.967
CONSIGLIO NAZIONALE DELLE RICERCHE CNR	17	0.913
NEW YORK UNIVERSITY	17	0.913
UNIVERSITY OF SOUTH CAROLINA COLUMBIA	17	0.913
UNIVERSITY OF SOUTH CAROLINA SYSTEM	17	0.913
CHINESE ACADEMY OF SCIENCES	16	0.859
PENNSYLVANIA STATE UNIVERSITY	16	0.859
UNIVERSITY OF EXETER	16	0.859
UNIVERSITY OF ZURICH	16	0.859
UNIVERSITA DELLA SVIZZERA ITALIANA	15	0.806
UNIVERSITY OF AMSTERDAM	15	0.806
UNIVERSITY OF FLORIDA	15	0.806
UNIVERSITY OF TEXAS SYSTEM	15	0.806
MICHIGAN STATE UNIVERSITY	14	0.752
PENNSYLVANIA STATE UNIVERSITY UNIVERSITY PARK	14	0.752
UNIVERSITY OF CALIFORNIA BERKELEY	14	0.752
UNIVERSITY OF MASSACHUSETTS SYSTEM	14	0.752
UNIVERSITY OF WISCONSIN SYSTEM	14	0.752
AALTO UNIVERSITY	13	0.698
ARIZONA STATE UNIVERSITY	13	0.698
BOSTON UNIVERSITY	13	0.698
CALIFORNIA STATE UNIVERSITY SYSTEM	13	0.698
CITY UNIVERSITY OF HONG KONG	13	0.698
UNIVERSITY OF NOTRE DAME	13	0.698
UNIVERSITY SYSTEM OF MARYLAND	13	0.698
HARVARD MEDICAL SCHOOL	12	0.644
LONDON SCHOOL ECONOMICS POLITICAL SCIENCE	12	0.644
NATIONAL UNIVERSITY OF SINGAPORE	12	0.644
RADBOUD UNIVERSITY NIJMEGEN	12	0.644
STOCKHOLM UNIVERSITY	12	0.644
UNIVERSITY OF ARIZONA	12	0.644
UNIVERSITY OF COPENHAGEN	12	0.644
UNIVERSITY OF ELECTRONIC SCIENCE TECHNOLOGY OF CHINA	12	0.644
UNIVERSITY OF VERMONT	12	0.644
UNIVERSITY OF WISCONSIN MADISON	12	0.644
UNIVERSITY SYSTEM OF GEORGIA	12	0.644
UNIVERSITY OF COLORADO SYSTEM	11	0.591
UNIVERSITY OF MARYLAND COLLEGE PARK	11	0.591
UNIVERSITY OF MINNESOTA SYSTEM	11	0.591
UNIVERSITY OF MINNESOTA TWIN CITIES	11	0.591
UNIVERSITY OF NEBRASKA LINCOLN	11	0.591
UNIVERSITY OF NEBRASKA SYSTEM	11	0.591
UNIVERSITY OF PITTSBURGH	11	0.591
UNIVERSITY OF ZARAGOZA	11	0.591
ARIZONA STATE UNIVERSITY TEMPE	10	0.537
AUTONOMOUS UNIVERSITY OF BARCELONA	10	0.537
CENTRAL EUROPEAN UNIVERSITY	10	0.537
CONSEJO SUPERIOR DE INVESTIGACIONES CIENTIFICAS CSIC	10	0.537
HUNGARIAN ACADEMY OF SCIENCES	10	0.537
PEKING UNIVERSITY	10	0.537
PURDUE UNIVERSITY	10	0.537
PURDUE UNIVERSITY SYSTEM	10	0.537
UNIVERSITY OF BRITISH COLUMBIA	10	0.537
UNIVERSITY OF LJUBLJANA	10	0.537
UNIVERSITY OF MASSACHUSETTS AMHERST	10	0.537
XI AN JIAOTONG UNIVERSITY	10	0.537
YONSEI UNIVERSITY	10	0.537
AUSTRALIAN NATIONAL UNIVERSITY	9	0.483
BAR ILAN UNIVERSITY	9	0.483
CITY UNIVERSITY OF NEW YORK CUNY SYSTEM	9	0.483
HUMBOLDT UNIVERSITY OF BERLIN	9	0.483
JOHNS HOPKINS UNIVERSITY	9	0.483
NIELS BOHR INSTITUTE	9	0.483
TECHNICAL UNIVERSITY OF DENMARK	9	0.483
UNIVERSITY AT BUFFALO SUNY	9	0.483
UNIVERSITY OF CALIFORNIA SANTA BARBARA	9	0.483
UNIVERSITY OF ILLINOIS SYSTEM	9	0.483
UNIVERSITY OF NEW MEXICO	9	0.483
UNIVERSITY OF SYDNEY	9	0.483
UNIVERSITY OF TOKYO	9	0.483
BEIHANG UNIVERSITY	8	0.430
COMPLEX SCI HUB VIENNA	8	0.430
COMPLUTENSE UNIVERSITY OF MADRID	8	0.430
DARTMOUTH COLLEGE	8	0.430
EOTVOS LORAND UNIVERSITY	8	0.430
ERASMUS UNIVERSITY ROTTERDAM	8	0.430
ERASMUS UNIVERSITY ROTTERDAM EXCL ERASMUS MC	8	0.430
FACEBOOK INC	8	0.430
GEORGETOWN UNIVERSITY	8	0.430
HUNGARIAN RESEARCH NETWORK	8	0.430
IMT SCHOOL FOR ADVANCED STUDIES LUCCA	8	0.430
LEIDEN UNIVERSITY	8	0.430
LEIDEN UNIVERSITY EXCL LUMC	8	0.430
MCGILL UNIVERSITY	8	0.430
REICHMAN UNIVERSITY	8	0.430
SAPIENZA UNIVERSITY ROME	8	0.430
SICHUAN UNIVERSITY	8	0.430
SINGAPORE MANAGEMENT UNIVERSITY	8	0.430
TEXAS A M UNIVERSITY SYSTEM	8	0.430
TUFTS UNIVERSITY	8	0.430
UNITED STATES DEPARTMENT OF ENERGY DOE	8	0.430
UNIVERSITY COLLEGE DUBLIN	8	0.430
UNIVERSITY OF BRISTOL	8	0.430
UNIVERSITY OF COLOGNE	8	0.430
UNIVERSITY OF KONSTANZ	8	0.430
VIRGINIA POLYTECHNIC INSTITUTE STATE UNIVERSITY	8	0.430
VRIJE UNIVERSITEIT AMSTERDAM	8	0.430
AUTONOMOUS UNIVERSITY OF MADRID	7	0.376
BEIJING UNIVERSITY OF POSTS TELECOMMUNICATIONS	7	0.376
BEN GURION UNIVERSITY	7	0.376
FREE UNIVERSITY OF BERLIN	7	0.376
HEBREW UNIVERSITY OF JERUSALEM	7	0.376
HSE UNIVERSITY NATIONAL RESEARCH UNIVERSITY HIGHER SCHOOL OF ECONOMICS	7	0.376
LOUISIANA STATE UNIVERSITY	7	0.376
LOUISIANA STATE UNIVERSITY SYSTEM	7	0.376
NANYANG TECHNOLOGICAL UNIVERSITY	7	0.376
NATIONAL INSTITUTES OF HEALTH NIH USA	7	0.376
NATIONAL UNIVERSITY OF DEFENSE TECHNOLOGY CHINA	7	0.376
SUN YAT SEN UNIVERSITY	7	0.376
SWINBURNE UNIVERSITY OF TECHNOLOGY	7	0.376
UNIVERSIDAD POLITECNICA DE MADRID	7	0.376
UNIVERSITY OF BARCELONA	7	0.376
UNIVERSITY OF COLORADO BOULDER	7	0.376
UNIVERSITY OF GEORGIA	7	0.376
UNIVERSITY OF HAIFA	7	0.376
UNIVERSITY OF IOWA	7	0.376
UNIVERSITY OF KENTUCKY	7	0.376
UNIVERSITY OF MARIBOR	7	0.376
UNIVERSITY OF SOUTH FLORIDA	7	0.376
UNIVERSITY OF TEXAS AUSTIN	7	0.376
UNIVERSITY OF WARSAW	7	0.376
VANDERBILT UNIVERSITY	7	0.376
XI AN UNIVERSITY OF ARCHITECTURE TECHNOLOGY	7	0.376
YEUNGNAM UNIVERSITY	7	0.376
AIX MARSEILLE UNIVERSITE	6	0.322
CENT EUROPEAN UNIV	6	0.322
CHINESE UNIVERSITY OF HONG KONG	6	0.322
CHONGQING UNIVERSITY	6	0.322
CORVINUS UNIVERSITY BUDAPEST	6	0.322
GOOGLE INCORPORATED	6	0.322
HELMHOLTZ ASSOCIATION	6	0.322
HUN REN CENTRE FOR SOCIAL SCIENCES	6	0.322
HUNAN UNIVERSITY	6	0.322
IMPERIAL COLLEGE LONDON	6	0.322
KING ABDULAZIZ UNIVERSITY	6	0.322
LEIBNIZ INSTITUT FUR SOZIALWISSENSCHAFTEN GESIS	6	0.322
RUSSIAN ACADEMY OF SCIENCES	6	0.322
RWTH AACHEN UNIVERSITY	6	0.322
SEOUL NATIONAL UNIVERSITY SNU	6	0.322
SHANGHAI JIAO TONG UNIVERSITY	6	0.322
TEXAS A M UNIVERSITY COLLEGE STATION	6	0.322
UNIVERSIDAD DE LOS ANDES COLOMBIA	6	0.322
UNIVERSIDAD NACIONAL DE EDUCACION A DISTANCIA UNED	6	0.322
UNIVERSITY OF ARKANSAS SYSTEM	6	0.322
UNIVERSITY OF BERN	6	0.322
UNIVERSITY OF BUCHAREST	6	0.322
UNIVERSITY OF CENTRAL FLORIDA	6	0.322
UNIVERSITY OF GLASGOW	6	0.322
UNIVERSITY OF GREENWICH	6	0.322
UNIVERSITY OF WARWICK	6	0.322
WAYNE STATE UNIVERSITY	6	0.322
YORK UNIVERSITY CANADA	6	0.322
ZHEJIANG UNIVERSITY	6	0.322
ALAN TURING INST	5	0.269
BROWN UNIVERSITY	5	0.269
BUDAPEST UNIVERSITY OF TECHNOLOGY ECONOMICS	5	0.269
COLORADO STATE UNIVERSITY	5	0.269
COMPLEX SCI HUB	5	0.269
DALIAN UNIVERSITY OF TECHNOLOGY	5	0.269
FLORIDA STATE UNIVERSITY	5	0.269
FONDAZIONE BRUNO KESSLER	5	0.269
FUDAN UNIVERSITY	5	0.269
HARVARD T H CHAN SCHOOL OF PUBLIC HEALTH	5	0.269
HONG KONG POLYTECHNIC UNIVERSITY	5	0.269
ISI FDN	5	0.269
ISTITUTO DI INFORMATICA E TELEMATICA IIT CNR	5	0.269
KARLSRUHE INSTITUTE OF TECHNOLOGY	5	0.269
KAROLINSKA INSTITUTET	5	0.269
KING SAUD UNIVERSITY	5	0.269
KYOTO UNIVERSITY	5	0.269
LINKOPING UNIVERSITY	5	0.269
LONDON SCHOOL OF HYGIENE TROPICAL MEDICINE	5	0.269
LUND UNIVERSITY	5	0.269
NANJING UNIVERSITY	5	0.269
ROYAL HOLLOWAY UNIVERSITY LONDON	5	0.269
RUTGERS UNIVERSITY NEW BRUNSWICK	5	0.269
RUTGERS UNIVERSITY SYSTEM	5	0.269
SAN DIEGO STATE UNIVERSITY	5	0.269
SMITHSONIAN INSTITUTION	5	0.269
TORONTO METROPOLITAN UNIVERSITY	5	0.269
TSINGHUA UNIVERSITY	5	0.269
UK RESEARCH INNOVATION UKRI	5	0.269
UNITED STATES DEPARTMENT OF DEFENSE	5	0.269
UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO	5	0.269
UNIVERSITA CA FOSCARI VENEZIA	5	0.269
UNIVERSITAT DE LES ILLES BALEARS	5	0.269
UNIVERSITAT POLITECNICA DE CATALUNYA	5	0.269
UNIVERSITAT ROVIRA I VIRGILI	5	0.269
UNIVERSITE DE STRASBOURG	5	0.269
UNIVERSITE DE TOULOUSE	5	0.269
UNIVERSITE PARIS CITE	5	0.269
UNIVERSITES DE STRASBOURG ETABLISSEMENTS ASSOCIES	5	0.269
UNIVERSITY OF ARKANSAS FAYETTEVILLE	5	0.269
UNIVERSITY OF BATH	5	0.269
UNIVERSITY OF BIELEFELD	5	0.269
UNIVERSITY OF BREMEN	5	0.269
UNIVERSITY OF CALIFORNIA SAN FRANCISCO	5	0.269
UNIVERSITY OF COLORADO DENVER	5	0.269
UNIVERSITY OF EDINBURGH	5	0.269
UNIVERSITY OF ERLANGEN NUREMBERG	5	0.269
UNIVERSITY OF ILLINOIS URBANA CHAMPAIGN	5	0.269
UNIVERSITY OF MANNHEIM	5	0.269
UNIVERSITY OF SIENA	5	0.269
UNIVERSITY OF SOUTHAMPTON	5	0.269
UNIVERSITY OF SURREY	5	0.269
UNIVERSITY OF TENNESSEE KNOXVILLE	5	0.269
UNIVERSITY OF TENNESSEE SYSTEM	5	0.269
UNIVERSITY OF TURIN	5	0.269
UNIVERSITY OF VIENNA	5	0.269
UNIVERSITY OF WATERLOO	5	0.269
WESTERN UNIVERSITY UNIVERSITY OF WESTERN ONTARIO	5	0.269
XI AN PHYSICAL EDUCATION UNIVERSITY	5	0.269
A STAR INSTITUTE OF HIGH PERFORMANCE COMPUTING IHPC	4	0.215
AGENCY FOR SCIENCE TECHNOLOGY RESEARCH A STAR	4	0.215
ARIEL UNIVERSITY	4	0.215
BEIJING NORMAL UNIVERSITY	4	0.215
BINGHAMTON UNIVERSITY SUNY	4	0.215
BOSTON COLLEGE	4	0.215
CHARLES UNIVERSITY PRAGUE	4	0.215
CHONGQING UNIVERSITY OF POSTS TELECOMMUNICATIONS	4	0.215
CITY COLLEGE OF NEW YORK CUNY	4	0.215
CITY ST GEORGES UNIVERSITY OF LONDON	4	0.215
COVENTRY UNIVERSITY	4	0.215
CSIC UIB INSTITUTO DE FISICA INTERDISCIPLINAR Y SISTEMAS COMPLEJOS IFISC	4	0.215
DEPT SOCIOL	4	0.215
EAST CHINA UNIVERSITY OF SCIENCE TECHNOLOGY	4	0.215
EMORY UNIVERSITY	4	0.215
EUROPEAN UNIVERSITY INSTITUTE	4	0.215
GHENT UNIVERSITY	4	0.215
HUN REN CENTRE FOR ECONOMIC REGIONAL STUDIES	4	0.215
IMDEA NETWORKS INSTITUTE	4	0.215
INSEAD BUSINESS SCHOOL	4	0.215
ISTITUTO DI SCIENZE E TECNOLOGIE DELLA COGNIZIONE ISTC CNR	4	0.215
JOHNS HOPKINS BLOOMBERG SCHOOL OF PUBLIC HEALTH	4	0.215
KING S COLLEGE LONDON	4	0.215
MASARYK UNIVERSITY BRNO	4	0.215
MEDICAL UNIVERSITY OF VIENNA	4	0.215
MICROSOFT	4	0.215
NANJING UNIVERSITY OF AERONAUTICS ASTRONAUTICS	4	0.215
NATL INFORMAT COMMUN TECHNOL AUSTRALIA	4	0.215
OHIO UNIVERSITY	4	0.215
OTTO FRIEDRICH UNIVERSITY BAMBERG	4	0.215
POHANG UNIVERSITY OF SCIENCE TECHNOLOGY POSTECH	4	0.215
POLYTECHNIC UNIVERSITY OF MILAN	4	0.215
QUEEN MARY UNIVERSITY LONDON	4	0.215
QUEENS UNIVERSITY BELFAST	4	0.215
RAND CORPORATION	4	0.215
RENMIN UNIVERSITY OF CHINA	4	0.215
RENSSELAER POLYTECHNIC INSTITUTE	4	0.215
RICE UNIVERSITY	4	0.215
SIMON FRASER UNIVERSITY	4	0.215
SMITHSONIAN TROPICAL RESEARCH INSTITUTE	4	0.215
STONY BROOK UNIVERSITY	4	0.215
SWPS UNIVERSITY OF SOCIAL SCIENCES HUMANITIES	4	0.215
TILBURG UNIVERSITY	4	0.215
TRINITY COLLEGE DUBLIN	4	0.215
UNITED STATES ARMY	4	0.215
UNIVERSIDAD DE MALAGA	4	0.215
UNIVERSIDADE DE SAO PAULO	4	0.215
UNIVERSITE DE MONTREAL	4	0.215
UNIVERSITE DE TOULON	4	0.215
UNIVERSITY OF AUCKLAND	4	0.215
