Publication Titles	Record Count	% of 1,859
ACTA SOCIOLOGICA	3	0.161
ADOLESCENT RESEARCH REVIEW	1	0.054
ADVANCED THEORY AND SIMULATIONS	1	0.054
ADVANCES IN COMPLEX SYSTEMS	15	0.807
ADVANCES IN LIFE COURSE RESEARCH	6	0.323
AGRICULTURE AND HUMAN VALUES	1	0.054
AMERICAN BEHAVIORAL SCIENTIST	22	1.183
AMERICAN JOURNAL OF ECONOMICS AND SOCIOLOGY	3	0.161
AMERICAN JOURNAL OF SOCIOLOGY	17	0.914
AMERICAN SOCIOLOGICAL REVIEW	18	0.968
ANNALS OF THE AMERICAN ACADEMY OF POLITICAL AND SOCIAL SCIENCE	4	0.215
ANNALS OF THE NEW YORK ACADEMY OF SCIENCES	1	0.054
ANNALS OF TOURISM RESEARCH	3	0.161
ANNUAL REVIEW OF SOCIOLOGY	14	0.753
ANNUAL REVIEW OF SOCIOLOGY VOL 36	2	0.108
ANNUAL REVIEW OF SOCIOLOGY VOL 37	1	0.054
ANNUAL REVIEW OF SOCIOLOGY VOL 38	1	0.054
ANNUAL REVIEW OF SOCIOLOGY VOL 40	1	0.054
ANNUAL REVIEW OF SOCIOLOGY VOL 43	1	0.054
ANNUAL REVIEW OF SOCIOLOGY VOL 45	1	0.054
ANNUAL REVIEW OF SOCIOLOGY VOL 46	2	0.108
ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING	9	0.484
ARCHIVES OF SEXUAL BEHAVIOR	9	0.484
BERLINER JOURNAL FUR SOZIOLOGIE	1	0.054
BIG DATA SOCIETY	2	0.108
BRITISH JOURNAL OF SOCIOLOGY	5	0.269
BRITISH JOURNAL OF SOCIOLOGY OF EDUCATION	3	0.161
CANADIAN REVIEW OF SOCIOLOGY AND ANTHROPOLOGY REVUE CANADIENNE DE SOCIOLOGIE ET D ANTHROPOLOGIE	1	0.054
CANADIAN REVIEW OF SOCIOLOGY REVUE CANADIENNE DE SOCIOLOGIE	1	0.054
CHILD INDICATORS RESEARCH	2	0.108
CHINESE SCIENCE BULLETIN	1	0.054
CITY COMMUNITY	1	0.054
CLOTHING AND TEXTILES RESEARCH JOURNAL	1	0.054
COMMUNICATIONS BIOLOGY	1	0.054
COMPLEXITY	57	3.066
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY	28	1.506
CORNELL HOSPITALITY QUARTERLY	1	0.054
CRIME LAW AND SOCIAL CHANGE	5	0.269
CULTURAL SOCIOLOGY	1	0.054
CURRENT SCIENCE	1	0.054
CURRENT SOCIOLOGY	5	0.269
DADOS REVISTA DE CIENCIAS SOCIAIS	2	0.108
DEVIANT BEHAVIOR	3	0.161
DISASTERS	5	0.269
DISCOURSE SOCIETY	2	0.108
DISCRETE DYNAMICS IN NATURE AND SOCIETY	17	0.914
DRUSTVENA ISTRAZIVANJA	1	0.054
EASTERN EUROPEAN COUNTRYSIDE	1	0.054
ECONOMETRICA	8	0.430
ECONOMETRICS JOURNAL	1	0.054
ECONOMIC AND SOCIAL REVIEW	2	0.108
EMPIRICAL ECONOMICS	1	0.054
EPJ DATA SCIENCE	40	2.152
ETHNIC AND RACIAL STUDIES	4	0.215
EUROPEAN SOCIETIES	1	0.054
EUROPEAN SOCIOLOGICAL REVIEW	1	0.054
EVALUATION	1	0.054
EVALUATION AND PROGRAM PLANNING	6	0.323
EVALUATION REVIEW	2	0.108
EVIDENCE POLICY	1	0.054
FIELD METHODS	3	0.161
FOOD CULTURE SOCIETY	1	0.054
FRACTALS COMPLEX GEOMETRY PATTERNS AND SCALING IN NATURE AND SOCIETY	1	0.054
GENDER SOCIETY	1	0.054
GLOBAL NETWORKS A JOURNAL OF TRANSNATIONAL AFFAIRS	5	0.269
GROUP DECISION AND NEGOTIATION	2	0.108
HELIYON	20	1.076
HISTORICAL SOCIAL RESEARCH HISTORISCHE SOZIALFORSCHUNG	2	0.108
HUMAN ECOLOGY	2	0.108
HUMAN ORGANIZATION	2	0.108
HUMAN RELATIONS	9	0.484
HUMANITIES SOCIAL SCIENCES COMMUNICATIONS	11	0.592
INFORMATION COMMUNICATION SOCIETY	59	3.174
INNOVATION THE EUROPEAN JOURNAL OF SOCIAL SCIENCE RESEARCH	1	0.054
INTERNATIONAL JOURNAL OF BIFURCATION AND CHAOS	3	0.161
INTERNATIONAL JOURNAL OF COMPARATIVE SOCIOLOGY	1	0.054
INTERNATIONAL JOURNAL OF GAME THEORY	1	0.054
INTERNATIONAL JOURNAL OF INTERCULTURAL RELATIONS	5	0.269
INTERNATIONAL JOURNAL OF QUALITATIVE METHODS	2	0.108
INTERNATIONAL JOURNAL OF SOCIAL RESEARCH METHODOLOGY	1	0.054
INTERNATIONAL REVIEW FOR THE SOCIOLOGY OF SPORT	4	0.215
INTERNATIONAL SOCIOLOGY	1	0.054
ISCIENCE	1	0.054
ISLAND STUDIES JOURNAL	2	0.108
JASSS THE JOURNAL OF ARTIFICIAL SOCIETIES AND SOCIAL SIMULATION	33	1.775
JOURNAL FOR THE SCIENTIFIC STUDY OF RELIGION	7	0.377
JOURNAL OF BUSINESS ECONOMIC STATISTICS	6	0.323
