Authors	Record Count	% of 1,870
Christakis NA	22	1.176
Fowler JH	16	0.856
Butts CT	12	0.642
Snijders TAB	12	0.642
Lomi A	10	0.535
Buskens V	9	0.481
Flache A	9	0.481
Kertész J	9	0.481
Wang P	9	0.481
Cebrian M	8	0.428
Centola D	8	0.428
Lehmann S	8	0.428
Robins G	8	0.428
Stadtfeld C	8	0.428
Wang Y	8	0.428
Wellman B	8	0.428
Cornwell B	7	0.374
Corten R	7	0.374
Dunbar RIM	7	0.374
Mcfarland DA	7	0.374
Moody J	7	0.374
Moro E	7	0.374
Pentland A	7	0.374
Schaefer DR	7	0.374
Burt RS	6	0.321
Carley KM	6	0.321
Chen Y	6	0.321
Crossley N	6	0.321
Doreian P	6	0.321
Hayat T	6	0.321
Simpson B	6	0.321
Skvoretz J	6	0.321
Smith JA	6	0.321
Zhao JC	6	0.321
Brashears ME	5	0.267
Cuevas R	5	0.267
Ferligoj A	5	0.267
Garcia D	5	0.267
Hu YQ	5	0.267
Hâncean MG	5	0.267
Kaski K	5	0.267
Kleinbaum AM	5	0.267
Lewis K	5	0.267
Makse HA	5	0.267
Mccarty C	5	0.267
Melamed D	5	0.267
Pattison P	5	0.267
Pei S	5	0.267
Perc M	5	0.267
Rahwan I	5	0.267
Rand DG	5	0.267
Saracco F	5	0.267
Saramäki J	5	0.267
Sánchez A	5	0.267
Valente TW	5	0.267
Volker B	5	0.267
Wang C	5	0.267
Adams J	4	0.214
Agneessens F	4	0.214
Airoldi EM	4	0.214
Akçay E	4	0.214
Bellotti E	4	0.214
Barabási AL	4	0.214
Bokányi E	4	0.214
Caldarelli G	4	0.214
Duxbury SW	4	0.214
Feng L	4	0.214
Galesic M	4	0.214
Gondal N	4	0.214
Growiec K	4	0.214
González MC	4	0.214
Hossain L	4	0.214
Jackson MO	4	0.214
Jo HH	4	0.214
Karimi F	4	0.214
Koskinen J	4	0.214
Lee S	4	0.214
Lengyel B	4	0.214
Lerner J	4	0.214
Lizardo O	4	0.214
Lubbers MJ	4	0.214
Mones E	4	0.214
Moreno Y	4	0.214
Mouw T	4	0.214
Muchnik L	4	0.214
Papachristos AV	4	0.214
Park HW	4	0.214
Parkinson C	4	0.214
Schafer MH	4	0.214
Schneider J	4	0.214
Shen Y	4	0.214
Shirado H	4	0.214
Stanley HE	4	0.214
Stefanone MA	4	0.214
Stopczynski A	4	0.214
Sueur C	4	0.214
Tindall DB	4	0.214
Tolsma J	4	0.214
Takács K	4	0.214
Uddin S	4	0.214
Wang H	4	0.214
Wang W	4	0.214
Yang Y	4	0.214
Aiello LM	3	0.160
Almquist ZW	3	0.160
Aral S	3	0.160
Arbesman S	3	0.160
Barrat A	3	0.160
Bhandari A	3	0.160
Bienenstock EJ	3	0.160
Biro D	3	0.160
Boda Z	3	0.160
Bogdan P	3	0.160
Bond RM	3	0.160
Borge-holthoefer J	3	0.160
Brady WJ	3	0.160
Benítez-andrades JA	3	0.160
Chawla NV	3	0.160
Cheadle JE	3	0.160
Chen DB	3	0.160
Chen HH	3	0.160
Chen W	3	0.160
Chen WH	3	0.160
Clauset A	3	0.160
Conti N	3	0.160
Cuevas A	3	0.160
Cui SQ	3	0.160
Daly AJ	3	0.160
