Affiliation with Department	Record Count	% of 1,862
University Of Oxford Mathematical Physical And Life Sciences Division	21	1.128
Yale University Graduate School Of Arts And Sciences	20	1.074
University Of California San Diego Division Of Social Sciences	18	0.967
Yale University Department Of Sociology	17	0.913
The Ohio State University College Of Arts And Sciences	16	0.859
Massachusetts Institute Of Technology School Of Architecture And Planning	15	0.806
Stanford University School Of Humanities And Science	15	0.806
University Of California Irvine School Of Social Sciences	15	0.806
University Of California San Diego Department Of Political Science	15	0.806
The University Of Melbourne Faculty Of Medicine Dentistry And Health Sciences	14	0.752
The University Of Melbourne Melbourne School Of Psychological Sciences	14	0.752
University Of Oxford Social Sciences Division	14	0.752
Annenberg School For Communications	13	0.698
University Of California Irvine Department Of Sociology	13	0.698
Aalto University School Of Science	12	0.644
Massachusetts Institute Of Technology Media Lab	12	0.644
The University Of North Carolina At Chapel Hill College Of Arts And Sciences	12	0.644
University Of Toronto Faculty Of Arts Science	12	0.644
University Of Washington College Of Arts Sciences	12	0.644
Massachusetts Institute Of Technology Sloan School Of Management	11	0.591
University Of California San Diego Health Sciences	11	0.591
University Of California San Diego School Of Medicine	11	0.591
The University Of Manchester Faculty Of Humanities	10	0.537
The University Of Manchester School Of Social Sciences	10	0.537
The University Of North Carolina At Chapel Hill Department Of Sociology	10	0.537
Cornell University College Of Arts And Sciences	9	0.483
Duke University Trinity College Of Arts And Sciences	9	0.483
University Of Oxford Department Of Experimental Psychology	9	0.483
University Of Oxford Department Of Zoology	9	0.483
University Of Oxford Medical Sciences Division	9	0.483
Utrecht University Department Of Social Sciences	9	0.483
Utrecht University Department Of Sociology	9	0.483
Utrecht University Faculty Of Social Sciences	9	0.483
Carnegie Mellon University School Of Computer Science	8	0.430
Cornell University Department Of Sociology	8	0.430
Harvard University Faculty Of Arts And Sciences	8	0.430
New York University Faculty Of Arts And Science	8	0.430
The Pennsylvania State University College Of The Liberal Arts	8	0.430
The University Of Arizona College Of Social And Behavioral Sciences	8	0.430
University Of California Davis College Of Letters And Science	8	0.430
University Of California Davis Division Of Social Sciences	8	0.430
University Of California Irvine Institute For Mathematical Behavioral Sciences	8	0.430
University Of California Los Angeles College Of Letters And Science	8	0.430
University Of Ljubljana Faculty Of Social Sciences	8	0.430
University Of Oxford Nuffield College	8	0.430
University Of Pennsylvania School Of Arts And Sciences	8	0.430
University Of Pittsburgh Department Of Sociology	8	0.430
University Of Pittsburgh Dietrich School Of Arts And Sciences	8	0.430
University Of Toronto Department Of Sociology	8	0.430
University Of Vermont College Of Engineering And Mathematical Sciences	8	0.430
Aalto University Department Of Computer Science	7	0.376
Duke University Department Of Sociology	7	0.376
Indiana University Bloomington Luddy School Of Informatics Computing And Engineering	7	0.376
Technical University Of Denmark Department Of Applied Mathematics And Computer Science	7	0.376
The Pennsylvania State University Department Of Sociology And Criminology	7	0.376
University Of Chicago Booth School Of Business	7	0.376
University Of Konstanz Faculty Of Mathematics And Sciences	7	0.376
University Of Michigan College Of Literature Science And The Arts	7	0.376
University Of Oxford Department Of Statistics	7	0.376
University Of Pennsylvania Department Of Biology	7	0.376
University Of South Carolina College Of Arts And Sciences	7	0.376
University Of South Carolina Department Of Sociology	7	0.376
Beihang University School Of Economics And Management	6	0.322
City University Of Hong Kong College Of Humanities And Social Sciences	6	0.322
Radboud University Faculty Of Social Sciences	6	0.322
The Ohio State University Department Of Sociology	6	0.322
The University Of Manchester Sociology	6	0.322
University Carlos Iii Of Madrid Department Of Mathematics	6	0.322
University College London Bartlett Faculty Of The Built Environment	6	0.322
University Of Groningen Faculty Of Behavioural And Social Sciences	6	0.322
University Of Massachusetts Amherst College Of Social And Behavioral Sciences	6	0.322
University Of Massachusetts Amherst Department Of Sociology	6	0.322
University Of Nebraska Lincoln College Of Arts And Sciences	6	0.322
University Of Nebraska Lincoln Department Of Sociology	6	0.322
University Of New Mexico College Of Arts And Sciences	6	0.322
University Of Vermont Department Of Mathematics And Statistics	6	0.322
University Of Wisconsin Madison College Of Letters And Science	6	0.322
Yale University Department Of Ecology And Evolutionary Biology	6	0.322
Yale University School Of Public Health	6	0.322
Columbia Medical Center	5	0.269
Columbia University Faculty Of Arts And Sciences	5	0.269
Dartmouth College Tuck School Of Business	5	0.269
Indiana University Bloomington College Of Arts And Sciences	5	0.269
Massachusetts Institute Of Technology School Of Engineering	5	0.269
National Opinion Research Center	5	0.269
National University Of Singapore Department Of Physics	5	0.269
National University Singapore Faculty Of Science	5	0.269
Northeastern University College Of Science	5	0.269
Northeastern University Department Of Physics	5	0.269
Northwestern University Kellogg School Of Management	5	0.269
Peking University Faculty Of Economics And Management	5	0.269
Stanford University Department Of Economics	5	0.269
Stanford University Department Of Sociology	5	0.269
The Ohio State University School Of Communication	5	0.269
University College London Centre For Advanced Spatial Analysis	5	0.269
University College London Department Of Computer Science	5	0.269
University College London Faculty Of Engineering	5	0.269
University Of Amsterdam Faculty Of Social And Behavioural Sciences	5	0.269
University Of California Berkeley College Of Letters And Science	5	0.269
University Of California San Diego Department Of Medicine	5	0.269
University Of California San Diego Jacobs School Of Engineering	5	0.269
University Of California Santa Barbara College Of Letters And Science	5	0.269
University Of Chicago Division Of The Social Sciences	5	0.269
University Of Exeter College Of Life And Environmental Sciences	5	0.269
University Of Florida College Of Liberal Arts And Sciences	5	0.269
University Of Haifa The Herta And Paul Amir Faculty Of Social Sciences	5	0.269
University Of Maribor Faculty Of Natural Science And Mathematics	5	0.269
University Of Michigan School Of Information	5	0.269
University Of Notre Dame College Of Arts And Letters	5	0.269
University Of Notre Dame Department Of Sociology	5	0.269
University Of Southern California Health Sciences Center	5	0.269
University Of Southern California Keck School Of Medicine	5	0.269
Utrecht University Faculty Of Geosciences	5	0.269
Virginia Polytechnic Institute And State University College Of Engineering	5	0.269
Xi An Jiaotong University School Of Economics And Finance	5	0.269
Aalto University Department Of Biomedical Engineering And Computational Science	4	0.215
Arizona State University The College Of Liberal Arts And Sciences	4	0.215
Bar Ilan University Faculty Of Exact Sciences	4	0.215
Ben Gurion University Of The Negev Faculty Of Engineering Sciences	4	0.215
Central European University Department Of Network And Data Science	4	0.215
City University Of Hong Kong Department Of Media And Communication	4	0.215
Columbia University Mailman School Of Public Health	4	0.215
David Geffen School Of Medicine At Ucla	4	0.215
Georgetown University Medical Center	4	0.215
Imperial College London Faculty Of Natural Sciences	4	0.215
Louisiana State University College Of Humanities And Social Sciences	4	0.215
Louisiana State University Department Of Sociology	4	0.215
Massachusetts Institute Of Technology Department Of Civil And Environmental Engineering	4	0.215
Medical University Of Vienna Centre For Medical Statistics Informatics And Intelligent Systems	4	0.215
Medical University Of Vienna Section For Science Of Complex Systems	4	0.215
Michigan State University College Of Communication Arts And Sciences	4	0.215
Michigan State University College Of Social Science	4	0.215
New York University Department Of Psychology	4	0.215
New York University Leonard N Stern School Of Business	4	0.215
Northeastern University Khoury College Of Computer Sciences	4	0.215
Peking University Guanghua School Of Management	4	0.215
Purdue University College Of Liberal Arts	4	0.215
Queen Mary University Of London Faculty Of Science And Engineering	4	0.215
Stanford Medicine	4	0.215
Stanford University School Of Engineering	4	0.215
Stanford University School Of Medicine	4	0.215
Stockholm University Department Of Sociology	4	0.215
Stockholm University Faculty Of Social Sciences	4	0.215
Sun Yat Sen University School Of Computer Science And Engineering	4	0.215
The City College Of New York	4	0.215
The Ohio State University Department Of Political Science	4	0.215
The University Of Arizona Department Of Sociology	4	0.215
The University Of British Columbia Faculty Of Arts	4	0.215
The University Of Sydney Faculty Of Engineering And Information Technologies	4	0.215
Tufts University Friedman School Of Nutrition Science And Policy	4	0.215
Ucla Department Of Psychology	4	0.215
Ucla Division Of Social Sciences	4	0.215
Ucla Life Sciences	4	0.215
University Of California Berkeley Division Of Social Sciences	4	0.215
University Of California Davis Department Of Communication	4	0.215
University Of California Irvine Department Of Criminology Law And Society	4	0.215
University Of California Irvine Donald Bren School Of Information And Computer Sciences	4	0.215
University Of California Irvine School Of Social Ecology	4	0.215
University Of California Los Angeles Department Of Epidemiology	4	0.215
University Of California Los Angeles Jonathan And Karin Fielding School Of Public Health	4	0.215
University Of California San Diego Department Of Computer Science And Engineering	4	0.215
University Of California Santa Barbara Division Of Social Sciences	4	0.215
University Of Central Florida College Of Sciences	4	0.215
University Of Chicago Department Of Sociology	4	0.215
University Of Colorado Boulder College Of Engineering And Applied Science	4	0.215
University Of Colorado Boulder Department Of Computer Science	4	0.215
University Of Florida Department Of Anthropology	4	0.215
University Of Fribourg Department Of Physics	4	0.215
University Of Fribourg Faculty Of Science And Medicine	4	0.215
University Of Fribourg Science Section	4	0.215
University Of Geneva School Of Social Sciences	4	0.215
University Of Haifa Department Of Sociology	4	0.215
University Of Kentucky Gatton College Of Business And Economics	4	0.215
University Of Konstanz Department Of Computer And Information Science	4	0.215
University Of Rome La Sapienza Faculty Of Economics	4	0.215
University Of South Florida College Of Arts Sciences	4	0.215
University Of South Florida Department Of Sociology	4	0.215
University Of South Florida School Of Social Sciences	4	0.215
University Of Southern California Department Of Population And Public Health Sciences	4	0.215
University Of Warwick Faculty Of Science Engineering And Medicine	4	0.215
University Of Washington Center For Studies In Demography Ecology	4	0.215
University Of Washington Department Of Anthropology	4	0.215
University Of Washington Department Of Statistics	4	0.215
University Of Zaragoza Faculty Of Science	4	0.215
University Of Zaragoza Institute Of Biocomputation And Physics Of Complex Systems	4	0.215
Xi An Jiaotong University School Of Management	4	0.215
Yale University Department Of Psychology	4	0.215
Autonomous University Of Barcelona Department Of Social And Cultural Anthropology	3	0.161
Autonomous University Of Barcelona Faculty Of Philosophy And Arts	3	0.161
Bar Ilan University Department Of Physics	3	0.161
Bar Ilan University Faculty Of Social Sciences	3	0.161
Beihang University College Of Software	3	0.161
Ben Gurion University Of The Negev Department Of Software And Information Systems Engineering	3	0.161
Boston University College Of Arts And Sciences	3	0.161
Columbia University Department Of Sociology	3	0.161
Dartmouth College Department Of Psychological And Brain Sciences	3	0.161
Duquesne University Department Of Sociology	3	0.161
Duquesne University Mcanulty College And Graduate School Of Liberal Arts	3	0.161
Harvard University Department Of Sociology	3	0.161
Harvard University Institute For Quantitative Social Science	3	0.161
Hebrew University Of Jerusalem School Of Business Administration	3	0.161
Hubert Curien Pluridisciplinary Institute	3	0.161
Humboldt University Of Berlin Faculty Of Life Sciences	3	0.161
Imperial College London Department Of Mathematics	3	0.161
Indiana University Bloomington Department Of Sociology	3	0.161
Johns Hopkins University Department Of Health Behavior And Society	3	0.161
Leiden University Faculty Of Science	3	0.161
Massachusetts Institute Of Technology Department Of Urban Studies And Planning	3	0.161
Massachusetts Institute Of Technology School Of Humanities Arts And Social Sciences	3	0.161
Massachusetts Institute Of Technology Senseable City Lab	3	0.161
New York University Department Of Sociology	3	0.161
Oxford Internet Institute	3	0.161
Pohang University Of Science And Technology Department Of Physics	3	0.161
Princeton University Department Of Ecology And Evolutionary Biology	3	0.161
Queen Mary University Of London School Of Mathematical Sciences	3	0.161
Queen S University Belfast Faculty Of Medicine Health And Life Sciences	3	0.161
Radboud University Department Of Sociology	3	0.161
Royal Holloway University Of London Department Of Biological Sciences	3	0.161
Royal Holloway University Of London School Of Life Sciences And The Environment	3	0.161
Rutgers New Brunswick Department Of Sociology	3	0.161
Rutgers New Brunswick School Of Arts And Sciences	3	0.161
San Diego State University College Of Health And Human Services	3	0.161
San Diego State University Graduate School Of Public Health	3	0.161
Seoul National University College Of Social Sciences	3	0.161
Stanford University Department Of Management Science And Engineering	3	0.161
State Key Laboratory Of Software Development Environment	3	0.161
Stockholm Resilience Centre	3	0.161
The City College Of New York Department Of Physics	3	0.161
The City College Of New York Division Of Science	3	0.161
The Ohio State University Fisher College Of Business	3	0.161
The University Of British Columbia Department Of Sociology	3	0.161
The University Of British Columbia Faculty Of Science	3	0.161
The University Of Iowa College Of Liberal Arts And Sciences	3	0.161
The University Of Iowa Department Of Sociology And Criminology	3	0.161
The University Of Melbourne Faculty Of Business And Economics	3	0.161
Tilburg University Tilburg School Of Social And Behavioral Sciences	3	0.161
Trinity College Dublin Faculty Of Engineering Mathematics And Science	3	0.161
Trinity College Dublin School Of School Of Computer Science And Statistics	3	0.161
Ucla Department Of Sociology	3	0.161
University Carlos Iii Of Madrid Department Of Statistics	3	0.161
University College London Faculty Of Social And Historical Sciences	3	0.161
University Of Amsterdam Faculty Of Science	3	0.161
University Of Bath Department Of Physics	3	0.161
University Of Bath Faculty Of Science	3	0.161
University Of Bristol Faculty Of Life Sciences	3	0.161
University Of Bristol School Of Biological Sciences	3	0.161
University Of California Berkeley Department Of Sociology	3	0.161
University Of California Berkeley School Of Public Health	3	0.161
University Of California Davis College Of Agricultural And Environmental Sciences	3	0.161
University Of California Irvine Department Of Computer Science	3	0.161
University Of Cambridge School Of The Humanities And Social Sciences	3	0.161
University Of Exeter Centre For Research In Animal Behaviour	3	0.161
University Of Exeter College Of Engineering Mathematics And Physical Sciences	3	0.161
University Of Exeter Department Of Computer Science	3	0.161
University Of Exeter School Of Psychology	3	0.161
University Of Geneva Department Of Sociology	3	0.161
University Of Glasgow College Of Social Sciences	3	0.161
University Of Konstanz Department Of Biology	3	0.161
University Of Maryland At College Park College Of Behavioral And Social Sciences	3	0.161
University Of Michigan Department Of Physics	3	0.161
University Of Michigan Institute For Social Research	3	0.161
University Of Michigan Ross School Of Business	3	0.161
University Of Montreal Faculty Of Arts And Sciences	3	0.161
University Of New Mexico Department Of Psychology	3	0.161
University Of New South Wales Science	3	0.161
University Of Notre Dame College Of Engineering	3	0.161
University Of Notre Dame Department Of Computer Science And Engineering	3	0.161
University Of Oxford Department Of Physics	3	0.161
University Of Oxford School Of Geography And The Environment	3	0.161
University Of Rome La Sapienza Department Of Economics And Law	3	0.161
University Of Southern California Marshall School Of Business	3	0.161
University Of Southern California Viterbi School Of Engineering	3	0.161
University Of Surrey Faculty Of Arts And Social Sciences	3	0.161
University Of Toronto Mississauga Department Of Biology	3	0.161
University Of Vienna Faculty Of Social Sciences	3	0.161
University Of Warwick Mathematics Institute	3	0.161
University Of Washington Center For Statistics And The Social Sciences	3	0.161
University Of Washington Department Of Biology	3	0.161
University Of Washington Department Of Sociology	3	0.161
University Of Wisconsin Madison Department Of Statistics	3	0.161
University Of Zaragoza Department Of Theoretical Physics	3	0.161
Virginia Polytechnic Institute And State University Department Of Computer Science	3	0.161
Washington State University College Of Arts And Sciences	3	0.161
Washington State University Department Of Sociology	3	0.161
Wayne State University College Of Liberal Arts And Sciences	3	0.161
Wayne State University Department Of Sociology	3	0.161
Yale School Of Engineering And Applied Science	3	0.161
Yale University Department Of Biomedical Engineering	3	0.161
Arizona State University T Denny Sanford School Of Social And Family Dynamics	2	0.107
Australian National University College Of Engineering And Computer Science	2	0.107
Australian National University School Of Computer Science	2	0.107
Beihang University School Of Mathematics And System Science	2	0.107
Beijing University Of Posts And Telecommunications School Of Economics And Management	2	0.107
Ben Gurion University Of The Negev Department Of Industrial Engineering And Management	2	0.107
Bielefeld University Faculty Of Sociology	2	0.107
Birkbeck University Of London Department Of Psychological Sciences	2	0.107
Birkbeck University Of London School Of Science	2	0.107
Boston College Morrissey College Of Arts And Sciences	2	0.107
Boston College Sociology Department	2	0.107
Boston University Center For Polymer Studies	2	0.107
Boston University Department Of Physics	2	0.107
Carnegie Mellon University Department Of Social And Decision Sciences	2	0.107
Carnegie Mellon University Dietrich College Of Humanities And Social Sciences	2	0.107
City University Of Hong Kong Department Of Public And International Affairs	2	0.107
City University Of Hong Kong School Of Data Science	2	0.107
Colorado State University College Of Liberal Arts	2	0.107
Colorado State University Department Of Sociology	2	0.107
Columbia University Business School	2	0.107
Columbia University Department Of Environmental Health Sciences	2	0.107
Complutense University Of Madrid Faculty Of Political Sciences And Sociology	2	0.107
Dalian University Of Technology Faculty Of Management And Economics	2	0.107
Deakin University Faculty Of Science Engineering And Built Environment	2	0.107
Deakin University School Of Information Technology	2	0.107
Drexel University Department Of Epidemiology And Biostatistics	2	0.107
Drexel University School Of Public Health	2	0.107
Duke University Department Of Economics	2	0.107
East China University Of Science And Technology School Of Business	2	0.107
East China University Of Science And Technology School Of Mathematics	2	0.107
Emory University Emory College Of Arts And Sciences	2	0.107
Eotvos Lorand University Faculty Of Social Sciences	2	0.107
Erasmus University Rotterdam Erasmus School Of Law	2	0.107
Eth Zurich Automatic Control Laboratory	2	0.107
Eth Zurich Department Of Civil Environmental And Geomatic Engineering	2	0.107
Eth Zurich Department Of Information Technology And Electrical Engineering	2	0.107
Eth Zurich Department Of Management Technology And Economics	2	0.107
Ets De Ingenieros De Telecomunicacion	2	0.107
Florida State University College Of Social Sciences Public Policy	2	0.107
Florida State University Department Of Sociology	2	0.107
Georgetown College	2	0.107
Georgetown University Department Of Oncology	2	0.107
Georgetown University Department Of Psychology	2	0.107
Georgetown University School Of Medicine	2	0.107
Harvard University Department Of Physics	2	0.107
Hassan Ii University Of Casablanca Faculty Of Sciences Ben M Sik	2	0.107
Hong Kong Baptist University Department Of Sociology	2	0.107
