Publication Years	Record Count	% of 1,859
2024	125	6.724
2023	144	7.746
2022	147	7.907
2021	144	7.746
2020	172	9.252
2019	119	6.401
2018	111	5.971
2017	121	6.509
2016	92	4.949
2015	114	6.132
2014	105	5.648
2013	80	4.303
2012	91	4.895
2011	63	3.389
2010	37	1.990
2009	40	2.152
2008	29	1.560
2007	18	0.968
2006	12	0.646
2005	10	0.538
2004	7	0.377
2003	4	0.215
2002	9	0.484
2001	5	0.269
2000	6	0.323
1999	8	0.430
1998	9	0.484
1997	3	0.161
1996	6	0.323
1995	7	0.377
1994	5	0.269
1993	5	0.269
1992	5	0.269
1991	2	0.108
1985	1	0.054
1983	1	0.054
1982	2	0.108
